日期,销量
2019-11-27,380
2019-11-28,360
2019-11-29,313
2019-11-30,353
2019-12-01,387
2019-12-02,330
2019-12-03,402
2019-12-04,392
2019-12-05,404
2019-12-06,399
2019-12-07,422
2019-12-08,411
2019-12-09,440
2019-12-10,384
2019-12-11,402
2019-12-12,403
2019-12-13,397
2019-12-14,410
2019-12-15,409
2019-12-16,451
2019-12-17,445
2019-12-18,439
2019-12-19,459
2019-12-20,434
2019-12-21,509
2019-12-22,433
2019-12-23,439
2019-12-24,457
2019-12-25,485
2019-12-26,495
2019-12-27,498
2019-12-28,533
2019-12-29,541
2019-12-30,479
2019-12-31,555
2020-01-01,535
2020-01-02,486
2020-01-03,496
2020-01-04,558
2020-01-05,516
2020-01-06,509
2020-01-07,507
2020-01-08,544
2020-01-09,559
2020-01-10,561
2020-01-11,585
2020-01-12,596
2020-01-13,551
2020-01-14,552
2020-01-15,606
2020-01-16,555
2020-01-17,621
2020-01-18,561
2020-01-19,574
2020-01-20,593
2020-01-21,659
2020-01-22,649
2020-01-23,585
2020-01-24,603
2020-01-25,671
2020-01-26,623
2020-01-27,647
2020-01-28,652
2020-01-29,698
2020-01-30,705
2020-01-31,693
2020-02-01,697
2020-02-02,665
2020-02-03,642
2020-02-04,690
2020-02-05,682
2020-02-06,682
2020-02-07,722
2020-02-08,716
2020-02-09,731
2020-02-10,690
2020-02-11,689
2020-02-12,728
2020-02-13,789
2020-02-14,764
2020-02-15,767
2020-02-16,729
2020-02-17,716
2020-02-18,786
2020-02-19,805
2020-02-20,801
2020-02-21,800
2020-02-22,816
2020-02-23,826
2020-02-24,767
2020-02-25,813
2020-02-26,833
2020-02-27,814
2020-02-28,772
2020-02-29,816
2020-03-01,866
2020-03-02,788
2020-03-03,808
2020-03-04,883
2020-03-05,799
2020-03-06,896
2020-03-07,900
2020-03-08,862
2020-03-09,846
2020-03-10,855
2020-03-11,903
2020-03-12,859
2020-03-13,918
2020-03-14,903
2020-03-15,859
2020-03-16,921
2020-03-17,866
2020-03-18,891
2020-03-19,893
2020-03-20,894
2020-03-21,892
2020-03-22,969
2020-03-23,895
2020-03-24,965
2020-03-25,971
2020-03-26,949
2020-03-27,922
2020-03-28,911
2020-03-29,967
2020-03-30,936
2020-03-31,990
2020-04-01,967
2020-04-02,937
2020-04-03,1032
2020-04-04,995
2020-04-05,1037
2020-04-06,1013
2020-04-07,1000
2020-04-08,1015
2020-04-09,971
2020-04-10,1071
2020-04-11,1044
2020-04-12,1030
2020-04-13,1027
2020-04-14,1033
2020-04-15,1007
2020-04-16,1058
2020-04-17,1023
2020-04-18,1066
2020-04-19,1060
2020-04-20,1062
2020-04-21,1123
2020-04-22,1051
2020-04-23,1056
2020-04-24,1067
2020-04-25,1095
2020-04-26,1146
2020-04-27,1114
2020-04-28,1069
2020-04-29,1084
2020-04-30,1147
2020-05-01,1094
2020-05-02,1116
2020-05-03,1184
2020-05-04,1163
2020-05-05,1158
2020-05-06,1196
2020-05-07,1197
2020-05-08,1128
2020-05-09,1194
2020-05-10,1186
2020-05-11,1156
2020-05-12,1173
2020-05-13,1194
2020-05-14,1233
2020-05-15,1244
2020-05-16,1214
2020-05-17,1173
2020-05-18,1218
2020-05-19,1230
2020-05-20,1205
2020-05-21,1180
2020-05-22,1225
2020-05-23,1259
2020-05-24,1222
2020-05-25,1240
2020-05-26,1243
2020-05-27,1252
2020-05-28,1244
2020-05-29,1308
2020-05-30,1247
2020-05-31,1240
2020-06-01,1237
2020-06-02,1244
2020-06-03,1257
2020-06-04,1258
2020-06-05,1322
2020-06-06,1325
2020-06-07,1291
2020-06-08,1300
2020-06-09,1358
2020-06-10,1346
